RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
78641,zip,TX,TX,Leander,"Austin-Round Rock-Georgetown, TX",Williamson County,446447.87571555
93535,zip,CA,CA,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,443043.2254469352
77459,zip,TX,TX,Missouri City,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,398522.2096788958
10469,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,649439.9616886558
10029,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,734670.4685029596
92704,zip,CA,CA,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",Orange County,917615.4678700492
93274,zip,CA,CA,Tulare,"Visalia, CA",Tulare County,341498.0387477971
11218,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1582159.970410057
75035,zip,TX,TX,Frisco,"Dallas-Fort Worth-Arlington, TX",Collin County,668412.211709567
11212,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,616983.8216302474
10462,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,676641.5954186771
91335,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,827874.9633636255
27610,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,324794.1165038112
60634,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,353994.59779896605
30349,zip,GA,GA,,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,268554.55541070364
94533,zip,CA,CA,Fairfield,"Vallejo, CA",Solano County,554867.427939487
28027,zip,NC,NC,Concord,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,408155.0327729429
34787,zip,FL,FL,Winter Garden,"Orlando-Kissimmee-Sanford, FL",Orange County,589880.4405702356
87121,zip,NM,NM,Albuquerque,"Albuquerque, NM",Bernalillo County,275242.4217710485
76244,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,387043.1099887718
77083,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,266088.4775635744
10002,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1178175.1593646922
23464,zip,VA,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,392671.14616164914
76063,zip,TX,TX,Mansfield,"Dallas-Fort Worth-Arlington, TX",Tarrant County,432554.6012367213
10466,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,621282.2284717852
11375,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,1119048.2910754147
98052,zip,WA,WA,Redmond,"Seattle-Tacoma-Bellevue, WA",King County,1488670.2079222
34953,zip,FL,FL,Port Saint Lucie,"Port St. Lucie, FL",Saint Lucie County,410215.44055192225
33024,zip,FL,FL,Pembroke Pines,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,498707.5777109396
33411,zip,FL,FL,,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,538940.4305461867
75002,zip,TX,TX,Allen,"Dallas-Fort Worth-Arlington, TX",Collin County,469778.7731420223
79912,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,305769.71118168323
93536,zip,CA,CA,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,546458.1042020568
91709,zip,CA,CA,Chino Hills,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,969554.1905422424
91910,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,866460.4298168264
98012,zip,WA,WA,Bothell,"Seattle-Tacoma-Bellevue, WA",Snohomish County,1025886.79228186
94513,zip,CA,CA,Brentwood,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,820039.0123572672
78572,zip,TX,TX,Mission,"McAllen-Edinburg-Mission, TX",Hidalgo County,197945.03554769684
11691,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,686366.2776639963
75211,zip,TX,TX,Cockrell Hill,"Dallas-Fort Worth-Arlington, TX",Dallas County,233202.36576611665
85225,zip,AZ,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",Maricopa County,462924.2456627262
30040,zip,GA,GA,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,600298.7696990722
93727,zip,CA,CA,Fresno,"Fresno, CA",Fresno County,426239.7229985098
89108,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,370249.4077384684
91706,zip,CA,CA,Baldwin Park,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,724088.503382919
90003,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,600532.9480342603
22191,zip,VA,VA,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,477773.0300556704
92126,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1073164.3262081256
19120,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,164021.84027811707
30041,zip,GA,GA,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,653732.666124856
76028,zip,TX,TX,Burleson,"Dallas-Fort Worth-Arlington, TX",Johnson County,338454.54435696057
30052,zip,GA,GA,Loganville,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County,399001.0239890889
80013,zip,CO,CO,Aurora,"Denver-Aurora-Lakewood, CO",Arapahoe County,490682.7431992733
11215,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2479073.220265555
75228,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,279947.5615615575
20002,zip,DC,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,739319.9299535627
63376,zip,MO,MO,Saint Peters,"St. Louis, MO-IL",Saint Charles County,314205.8152895347
37211,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,414561.5228595157
60085,zip,IL,IL,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,210787.3352896287
76179,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,322558.9079202742
77407,zip,TX,TX,Richmond,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,388881.2527173787
60657,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,634232.1462538341
30047,zip,GA,GA,Lilburn,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,398217.25286519545
33025,zip,FL,FL,Miramar,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,507066.2256847445
10463,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,789868.5673471034
33311,zip,FL,FL,Fort Lauderdale,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,387088.51824184833
96797,zip,HI,HI,Waipahu,"Urban Honolulu, HI",Honolulu County,912974.6662215132
83646,zip,ID,ID,Meridian,"Boise City, ID",Ada County,523247.613754596
92553,zip,CA,CA,Moreno Valley,"Riverside-San Bernardino-Ontario, CA",Riverside County,517824.4988241125
11209,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1269591.1235768504
84043,zip,UT,UT,Lehi,"Provo-Orem, UT",Utah County,583036.4619759503
14850,zip,NY,NY,Ithaca,"Ithaca, NY",Tompkins County,392295.25480897306
93306,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County,344089.3012076111
80015,zip,CO,CO,Centennial,"Denver-Aurora-Lakewood, CO",Arapahoe County,567831.7695740144
77095,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,332377.02058356354
93230,zip,CA,CA,Hanford,"Hanford-Corcoran, CA",Kings County,364000.76987322903
30127,zip,GA,GA,Powder Springs,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,368737.179579732
28277,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,629050.2032718981
77845,zip,TX,TX,College Station,"College Station-Bryan, TX",Brazos County,363742.30254362983
89031,zip,NV,NV,North Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,412260.41833237937
20906,zip,MD,MD,Silver Spring,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,504728.5083058582
46307,zip,IN,IN,Crown Point,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,343177.19896825677
95747,zip,CA,CA,Roseville,"Sacramento-Roseville-Folsom, CA",Placer County,669203.4441910405
94536,zip,CA,CA,Fremont,"San Francisco-Oakland-Berkeley, CA",Alameda County,1572717.828224755
92563,zip,CA,CA,Murrieta,"Riverside-San Bernardino-Ontario, CA",Riverside County,701966.8800688448
45011,zip,OH,OH,Hamilton,"Cincinnati, OH-KY-IN",Butler County,350612.26167783886
97229,zip,OR,OR,Portland,"Portland-Vancouver-Hillsboro, OR-WA",Washington County,779367.466389888
90255,zip,CA,CA,Huntington Park,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,660870.4404574861
