RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
37862,zip,TN,TN,Pigeon Forge,"Sevierville, TN",Sevier County,354398.69832345314
33712,zip,FL,FL,Saint Petersburg,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,188040.3044752898
60656,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,178681.68576822957
33572,zip,FL,FL,Apollo Beach,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,276341.57779794466
33566,zip,FL,FL,Plant City,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,287086.3250423356
2492,zip,MA,MA,Needham,"Boston-Cambridge-Newton, MA-NH",Norfolk County,733464.2306340528
48036,zip,MI,MI,Clinton Township,"Detroit-Warren-Dearborn, MI",Macomb County,171322.73174403593
18902,zip,PA,PA,Doylestown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,332573.87615817325
27263,zip,NC,NC,Archdale,"Greensboro-High Point, NC",Randolph County,135533.24143841458
45255,zip,OH,OH,Cincinnati,"Cincinnati, OH-KY-IN",Hamilton County,208749.3268424328
63141,zip,MO,MO,Creve Coeur,"St. Louis, MO-IL",Saint Louis County,234356.69640966985
90272,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1308399.599014404
80232,zip,CO,CO,Lakewood,"Denver-Aurora-Lakewood, CO",Jefferson County,330226.89801389567
63139,zip,MO,MO,Saint Louis,"St. Louis, MO-IL",Saint Louis City,185401.29202296655
19040,zip,PA,PA,Hatboro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,345812.61440179596
48220,zip,MI,MI,Ferndale,"Detroit-Warren-Dearborn, MI",Oakland County,252479.31556839863
3867,zip,NH,NH,Rochester,"Boston-Cambridge-Newton, MA-NH",Strafford County,248755.500355031
84124,zip,UT,UT,Holladay,"Salt Lake City, UT",Salt Lake County,446158.4110003314
94596,zip,CA,CA,Walnut Creek,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,469266.0477067646
46202,zip,IN,IN,Indianapolis,"Indianapolis-Carmel-Anderson, IN",Marion County,327868.8242398625
19605,zip,PA,PA,Reading,"Reading, PA",Berks County,229351.6605941332
80237,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,312232.4475311572
2445,zip,MA,MA,Brookline,"Boston-Cambridge-Newton, MA-NH",Norfolk County,826071.5693831764
20017,zip,DC,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,348719.2291171325
46580,zip,IN,IN,Warsaw,"Warsaw, IN",Kosciusko County,221157.5845271425
55345,zip,MN,MN,Minnetonka,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,267348.0491967271
19342,zip,PA,PA,Glen Mills,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Delaware County,336423.19309742417
53029,zip,WI,WI,Hartland,"Milwaukee-Waukesha, WI",Waukesha County,365192.5004861996
6437,zip,CT,CT,Guilford,"New Haven-Milford, CT",New Haven County,336175.30891679897
52245,zip,IA,IA,Iowa City,"Iowa City, IA",Johnson County,243749.0755661428
32821,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,232290.9548533231
91040,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,593361.972070013
30308,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,312359.63108150003
4074,zip,ME,ME,Scarborough,"Portland-South Portland, ME",Cumberland County,481379.25469634106
60803,zip,IL,IL,Alsip,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,131948.98583347804
21286,zip,MD,MD,Towson,"Baltimore-Columbia-Towson, MD",Baltimore County,198396.07313650812
95135,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,790860.371861958
49684,zip,MI,MI,Traverse City,"Traverse City, MI",Grand Traverse County,428254.72947442095
34470,zip,FL,FL,Ocala,"Ocala, FL",Marion County,139634.64497716472
2116,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,1208807.3629646262
54902,zip,WI,WI,Oshkosh,"Oshkosh-Neenah, WI",Winnebago County,163044.54933075316
70114,zip,LA,LA,New Orleans,"New Orleans-Metairie, LA",Orleans Parish,68934.7170437571
53045,zip,WI,WI,Brookfield,"Milwaukee-Waukesha, WI",Waukesha County,378335.5445910156
8028,zip,NJ,NJ,Glassboro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,256533.47139400104
70820,zip,LA,LA,Baton Rouge,"Baton Rouge, LA",East Baton Rouge Parish,137685.25167337302
70401,zip,LA,LA,Hammond,"Hammond, LA",Tangipahoa Parish,115665.13373176474
48331,zip,MI,MI,Farmington Hills,"Detroit-Warren-Dearborn, MI",Oakland County,331910.6014874881
98310,zip,WA,WA,Bremerton,"Bremerton-Silverdale-Port Orchard, WA",Kitsap County,259395.40382245055
2891,zip,RI,RI,Westerly,"Providence-Warwick, RI-MA",Washington County,405086.109689696
63090,zip,MO,MO,Washington,"St. Louis, MO-IL",Franklin County,162990.5841666579
6002,zip,CT,CT,Bloomfield,"Hartford-East Hartford-Middletown, CT",Hartford County,318368.00366060674
6820,zip,CT,CT,Darien,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,892139.7791647362
75225,zip,TX,TX,University Park,"Dallas-Fort Worth-Arlington, TX",Dallas County,375383.1612241206
32128,zip,FL,FL,Port Orange,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,289270.7132954416
77006,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,294429.7579368409
92029,zip,CA,CA,Escondido,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,652533.3651155672
71303,zip,LA,LA,Alexandria,"Alexandria, LA",Rapides Parish,181193.49639161592
